,Symptom,weight
0,itching,1
1,skin rash,3
2,nodal skin eruptions,4
3,continuous sneezing,4
4,shivering,5
5,chills,3
6,joint pain,3
7,stomach pain,5
8,acidity,3
9,ulcers on tongue,4
10,muscle wasting,3
11,vomiting,5
12,burning micturition,6
13,spotting urination,6
14,fatigue,4
15,weight gain,3
16,anxiety,4
17,cold hands and feets,5
18,mood swings,3
19,weight loss,3
20,restlessness,5
21,lethargy,2
22,patches in throat,6
23,irregular sugar level,5
24,cough,4
25,high fever,7
26,sunken eyes,3
27,breathlessness,4
28,sweating,3
29,dehydration,4
30,indigestion,5
31,headache,3
32,yellowish skin,3
33,dark urine,4
34,nausea,5
35,loss of appetite,4
36,pain behind the eyes,4
37,back pain,3
38,constipation,4
39,abdominal pain,4
40,diarrhoea,6
41,mild fever,5
42,yellow urine,4
43,yellowing of eyes,4
44,acute liver failure,6
45,fluid overload,6
46,swelling of stomach,7
47,swelled lymph nodes,6
48,malaise,6
49,blurred and distorted vision,5
50,phlegm,5
51,throat irritation,4
52,redness of eyes,5
53,sinus pressure,4
54,runny nose,5
55,congestion,5
56,chest pain,7
57,weakness in limbs,7
58,fast heart rate,5
59,pain during bowel movements,5
60,pain in anal region,6
61,bloody stool,5
62,irritation in anus,6
63,neck pain,5
64,dizziness,4
65,cramps,4
66,bruising,4
67,obesity,4
68,swollen legs,5
69,swollen blood vessels,5
70,puffy face and eyes,5
71,enlarged thyroid,6
72,brittle nails,5
73,swollen extremeties,5
74,excessive hunger,4
75,extra marital contacts,5
76,drying and tingling lips,4
77,slurred speech,4
78,knee pain,3
79,hip_joint pain,2
80,muscle weakness,2
81,stiff neck,4
82,swelling joints,5
83,movement stiffness,5
84,spinning movements,6
85,loss of balance,4
86,unsteadiness,4
87,weakness of one body side,4
88,loss of smell,3
89,bladder discomfort,4
90,foul smell ofurine,5
91,continuous feel of urine,6
92,passage of gases,5
93,internal itching,4
94,toxic look (typhos),5
95,depression,3
96,irritability,2
97,muscle pain,2
98,altered sensorium,2
99,red spots over body,3
100,belly pain,4
101,abnormal menstruation,6
102,dischromic patches,6
103,watering from eyes,4
104,increased appetite,5
105,polyuria,4
106,family history,5
107,mucoid sputum,4
108,rusty sputum,4
109,lack of concentration,3
110,visual disturbances,3
111,receiving blood transfusion,5
112,receiving unsterile injections,2
113,coma,7
114,stomach bleeding,6
115,distention of abdomen,4
116,history of alcohol consumption,5
117,fluid overload,4
118,blood in sputum,5
119,prominent veins on calf,6
120,palpitations,4
121,painful walking,2
122,pus filled pimples,2
123,blackheads,2
124,scurring,2
125,skin peeling,3
126,silver like dusting,2
127,small dents in nails,2
128,inflammatory nails,2
129,blister,4
130,red sore around nose,2
131,yellow crust ooze,3
132,prognosis,5
